player_name,salary,position,actual_team,grouped_position,war_value,Payroll,optimal_team
Zack Wheeler,22500000,SP,PHI,SP,7.166666667,262108948,LAD
Juan Soto,8500000,RF,WSN,OF,7.06,262108948,LAD
Fernando Tatis Jr.,1714286,SS,SDP,IF,6.96,262108948,LAD
Carlos Correa,11700000,SS,HOU,IF,6.765,262108948,LAD
Marcus Semien,18000000,2B,TOR,IF,6.725,262108948,LAD
Jose Ramirez,9400000,3B,CLE,IF,6.615,262108948,LAD
Walker Buehler,3750000,SP,LAD,SP,6.51,262108948,LAD
Bryce Harper,27538462,RF,PHI,OF,6.23,262108948,LAD
Max Scherzer,34503480,SP,WSN,SP,5.966666667,262108948,LAD
Robbie Ray,8000000,SP,TOR,SP,5.863333333,262108948,LAD
Aaron Judge,10175000,RF,NYY,OF,5.72,262108948,LAD
Brandon Woodruff,3275000,SP,MIL,SP,5.58,262108948,LAD
Matt Olson,5000000,1B,OAK,IF,5.355,262108948,LAD
Starling Marte,12500000,CF,MIA,OF,5.115,262108948,LAD
Shohei Ohtani,3000000,DH,LAA,DH,5.015,262108948,LAD
Salvador Perez,14200000,C,KCR,C,4.345,262108948,LAD
Mike Zunino,2000000,C,TBR,C,4.125,262108948,LAD
Josh Hader,6675000,RP,MIL,RP,3.116666667,262108948,LAD
AJ Pollock,18000000,LF,LAD,OF,3.08,262108948,LAD
Liam Hendriks,11333333,RP,CHW,RP,2.563333333,262108948,LAD
Andrew Chafin,2250000,RP,CHC,RP,2.403333334,262108948,LAD
Craig Kimbrel,16000000,RP,CHC,RP,2.283333333,262108948,LAD
Blake Treinen,8000000,RP,LAD,RP,2.213333333,262108948,LAD
Chad Green,2150000,RP,NYY,RP,1.953333333,262108948,LAD
Kendall Graveman,1250000,RP,SEA,RP,1.813333334,262108948,LAD
Zack Wheeler,22500000,SP,PHI,SP,7.166666667,203628978,NYY
Juan Soto,8500000,RF,WSN,OF,7.06,203628978,NYY
Fernando Tatis Jr.,1714286,SS,SDP,IF,6.96,203628978,NYY
