player_name,salary,position,team,grouped_position,war_value
A.J. Cole,1000000,RP,TOR,RP,0.253333333
A.J. Minter,1300000,RP,ATL,RP,0.607080745
Aaron Bummer,2000000,RP,CHW,RP,0.696666667
Aaron Hicks,10785714,CF,NYY,OF,-0.09
Aaron Judge,10175000,RF,NYY,OF,5.72
Aaron Loup,3000000,RP,NYM,RP,2.43
Aaron Nola,12250000,SP,PHI,SP,2.976666667
Aaron Sanchez,4000000,SP,SFG,SP,0.7
Abraham Almonte,570000,LF,ATL,OF,-0.412546584
Adalberto Mondesí,2520000,3B,KCR,IF,0.65
Adam Cimber,925000,RP,TOR,RP,1.433333333
Adam Eaton,7000000,RP,CHW,RP,0.01
Adam Engel,1350000,CF,CHW,OF,1.525
Adam Frazier,4300000,2B,PIT,IF,3.815
Adam Morgan,900000,RP,CHC,RP,-0.2
Adam Wainwright,8000000,SP,STL,SP,4.47
AJ Pollock,18000000,LF,LAD,OF,3.08
AJ Ramos,100000,RP,LAA,RP,0.176666667
Albert Almora,100000,RP,NYM,RP,-0.1
Albert Pujols,30000000,1B,LAD,IF,-0.36
Aledmys Díaz,3000000,3B,HOU,IF,1.44
Alex Bregman,13000000,3B,HOU,IF,2.16
Alex Claudio,1125000,RP,LAA,RP,-0.21333333300000001
Alex Cobb,15000000,SP,LAA,SP,1.843333333
Alex Colome,5000000,RP,MIN,RP,-0.383333333
Alex Dickerson,2000000,LF,SFG,OF,0
Alex Reyes,900000,RP,STL,RP,0.546666667
Alex Wood,3000000,SP,SFG,SP,2.143333333
Amed Rosario,2400000,SS,CLE,IF,2.17
Amir Garrett,1500000,RP,CIN,RP,-0.39
Andrelton Simmons,10500000,SS,MIN,IF,1.135
Andrew Albers,100000,SP,MIN,SP,-0.453333333
Andrew Benintendi,6600000,LF,KCR,OF,2.115
Andrew Chafin,2250000,RP,CHC,RP,2.403333334
Andrew Heaney,6750000,SP,LAA,SP,0.4533333340000001
Andrew Knapp,1100000,RP,PHI,RP,0.003333333
Andrew McCutchen,20000000,LF,PHI,OF,1.53
Andrew Miller,12000000,RP,STL,RP,-0.073333333
Andrew Romine,100000,RP,CHC,RP,-0.04
Andy Burns,100000,RP,LAD,RP,-0.09
Anthony Bass,1000000,RP,MIA,RP,-0.17
Anthony DeSclafani,6000000,SP,SFG,SP,3.856666667
Anthony Rendon,28071428,3B,LAA,IF,0.105
Anthony Rizzo,16500000,1B,CHC,IF,1.8399999999999999
Anthony Santander,2100000,RF,BAL,OF,0.145
Anthony Swarzak,100000,RP,KCR,RP,-0.276666667
Antonio Senzatela,3000000,SP,COL,SP,2.639627329
Archie Bradley,6000000,RP,PHI,RP,0.46
Aroldis Chapman,16000000,RP,NYY,RP,1.073333333
Asdrubal Cabrera,1750000,RP,ARI,RP,0.016666667
Asher Wojciechowski,100000,SP,NYY,SP,0.023333333
Austin Barnes,1650000,C,LAD,C,0.605
Austin Brice,870000,RP,BOS,RP,-0.096666667
Austin Hedges,3280000,C,CLE,C,0.04
Austin Romine,1500000,C,CHC,C,-0.345
